,Commodity,Time,Country,Customs Value (Gen) ($US),Customs  Value (Cons) ($US),Dutiable Value ($US),Calculated Duty ($US),Customs Value (Cons) ($US),code,year,month
57199,6203420550 B Bib & Brce Ovrls N-imp Prts Of Plyst Cot  Rpo (doz),June 2018,China,1209,,0,0,0,6203420550,2018,June
57543,6203430590 B Ovrls Of Syn Fb N-insld N-imp Prt Plyst Nk  Rpo (doz),June 2018,China,739,,0,0,0,6203430590,2018,June
57730,"6203437510 Ski/snowboard Pants, Men/boys Water-resist S Nesoi (doz)",June 2018,China,25664,,0,0,0,6203437510,2018,June
57789,"6203439035 Boys' Shorts Import Playsuit Pts Syn Fib, Nesoi (doz)",November 2018,China,621,,0,0,0,6203439035,2018,November
57803,6203490105 Mens B&b Overalls Insl Cld Wthr Prtct Artif Fi Rpo (doz),January 2018,China,71484,,0,0,0,6203490105,2018,January
59622,6204690105 Wg B&b Overls Artif Fib Insltd Cld Wthr Prtc  Rpo (doz),December 2018,China,370224,,0,0,0,6204690105,2018,December
59834,6204692820 Girls' Trs Art Fib Lt 36% W/fah Imp Plyst Pt Nesoi (doz),September 2018,China,1768,,0,0,0,6204692820,2018,September
59835,6204692820 Girls' Trs Art Fib Lt 36% W/fah Imp Plyst Pt Nesoi (doz),October 2018,China,5771,,0,0,0,6204692820,2018,October
59836,6204692820 Girls' Trs Art Fib Lt 36% W/fah Imp Plyst Pt Nesoi (doz),November 2018,China,3303,,0,0,0,6204692820,2018,November
59906,6204696530 W/g Trousers Etc Silk Subject mmf Restraints Nesoi (doz),May 2018,China,18000,,0,0,0,6204696530,2018,May
60533,"6206402520 Girls' Blouses Of mmf Con Gt=36% Wool/fah, Nt Knit (doz)",August 2018,China,2897,,0,0,0,6206402520,2018,August
60738,"6207299010 M/b Nightshirts And Pajamas Of Wool, Not Knit (doz)",June 2018,China,267000,,0,0,0,6207299010,2018,June
60739,"6207299010 M/b Nightshirts And Pajamas Of Wool, Not Knit (doz)",September 2018,China,164736,,0,0,0,6207299010,2018,September
60740,"6207299010 M/b Nightshirts And Pajamas Of Wool, Not Knit (doz)",October 2018,China,117896,,0,0,0,6207299010,2018,October
60742,6207299030 M/b Nghtshrts & Pjs Lt 70% Slk/slk Wst Nt Knit (doz),March 2018,China,83068,,0,0,0,6207299030,2018,March
61324,"6209900500 Babies' Grmnt & Clthng Accessories Wool, Not Knit (doz)",July 2018,China,275394,,0,0,0,6209900500,2018,July
62269,"6211201565 W/g Wtr Res Nesoi, Of Tex Mats Nesoi Nt Kt/crchtd (doz)",June 2018,China,20845,,0,0,0,6211201565,2018,June
62445,"6211329030 Boys' Washsuits & Similar Apparel Cotton, Nesoi (doz)",March 2018,China,334,,0,0,0,6211329030,2018,March
62912,6211398050 M/b Shirts Text Mat Nesoi Lt 70% Slk/slk Wst Nt Kn (doz),July 2018,China,19540,,0,0,0,6211398050,2018,July
